Nom recette,Nombre de commentaires,Ingrédient,Quantité,AG saturés (g),"Energie, Règlement UE N° 1169/2011 (kJ)","Energie, Règlement UE N° 1169/2011 (kcal)",Glucides (g),Lipides (g),Protéines (g),Sel chlorure de sodium (g),Sucres (g)
Boulettes de viande à l'espagnole,11.0,ail,5.0,0.01,73.0,17.2,3.14,0.0385,0.835,0.0055,0.1215
Boulettes de viande à l'espagnole,11.0,boeuf hache,50.0,3.325,481.5,115.5,0.0009,7.55,11.9,0.105,0.0
Boulettes de viande à l'espagnole,11.0,chair a saucisse,50.0,,670.0,161.5,0.3,14.55,7.35,0.695,
Boulettes de viande à l'espagnole,11.0,farine,2.0,0.0026,30.2,7.12,1.518,0.0163999999999999,0.1987999999999999,0.00196,0.0081999999999999
Boulettes de viande à l'espagnole,11.0,oeuf,13.75,0.411125,79.0625,18.975,0.0976249999999999,1.302125,1.71875,0.0275,0.050875
Boulettes de viande à l'espagnole,11.0,persil,2.0,0.002,3.6,0.86,0.0696,0.0126,0.0742,0.0118,0.019
Boulettes de viande à l'espagnole,11.0,poivre,2.0,0.0579999999999999,27.6,6.6,0.79,0.15,0.266,0.0007199999999999,0.0128
Boulettes de viande à l'espagnole,11.0,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
Boulettes de viande à l'espagnole,11.0,vin blanc sec,1.25,0.0,,,0.0504999999999999,0.0,0.0,7.875e-05,0.002125
Boulettes de viande à la Sicilienne,46.0,ail,5.0,0.01,73.0,17.2,3.14,0.0385,0.835,0.0055,0.1215
Boulettes de viande à la Sicilienne,46.0,basilic,2.0,0.0026,2.9,0.696,0.051,0.0093999999999999,0.067,0.00056,0.0074
Boulettes de viande à la Sicilienne,46.0,boeuf hache,150.0,9.975,1444.5,346.5,0.0027,22.65,35.7,0.315,0.0
Boulettes de viande à la Sicilienne,46.0,chapelure,25.0,0.235,395.0,93.5,17.5,0.9425,3.175,0.455,1.725
