Nom recette,Nombre de commentaires,Ingrédient,Quantité,AG saturés (g),"Energie, Règlement UE N° 1169/2011 (kJ)","Energie, Règlement UE N° 1169/2011 (kcal)",Glucides (g),Lipides (g),Protéines (g),Sel chlorure de sodium (g),Sucres (g)
Butternut vegetarienne farcie au bleu et boulgour,3.0,bleu,37.5,,382.5,92.25,0.0,5.8125,9.9375,0.76875,0.0
Butternut vegetarienne farcie au bleu et boulgour,3.0,boulgour,50.0,0.055,235.5,55.5,10.85,0.25,2.0,0.009,0.0
Butternut vegetarienne farcie au bleu et boulgour,3.0,cerneau de noix,5.0,0.5,185.0,45.0,0.0,5.0,0.0,0.0,0.0
Butternut vegetarienne farcie au bleu et boulgour,3.0,creme fraiche,50.0,0.245,600.0,141.5,26.9,0.935,5.55,0.175,1.27
Butternut vegetarienne farcie au bleu et boulgour,3.0,fromage rape,25.0,4.4,330.0,80.0,0.0,6.625,5.05,0.415,0.00525
Cake végétarien aux épices ,5.0,curry,2.5,0.04125,30.75,7.525,0.06574999999999999,0.35,0.3625,0.0032500000000000003,0.06574999999999999
Cake végétarien aux épices ,5.0,farine,37.5,0.04875,566.25,133.5,28.4625,0.30749999999999994,3.7275,0.036750000000000005,0.15374999999999997
Cake végétarien aux épices ,5.0,gingembre,2.5,0.065,35.25,8.375,1.4575,0.10600000000000001,0.22450000000000003,0.0017000000000000001,0.08474999999999999
Cake végétarien aux épices ,5.0,gruyere rape,25.0,4.95,440.0,105.75,0.0,8.65,6.975,0.2,0.0
Cake végétarien aux épices ,5.0,huile de tournesol,25.0,2.775,925.0,225.25,0.0,25.0,0.0,0.00625,0.0
Cake végétarien aux épices ,5.0,lait entier,30.0,0.72,81.6,19.529999999999998,1.455,1.089,0.975,0.033,1.26
Cake végétarien aux épices ,5.0,levure,3.75,0.02625,52.5,12.525,0.8175,0.16875,1.515,0.013125,0.09375
Cake végétarien aux épices ,5.0,oeuf,41.25,1.233375,237.1875,56.925,0.292875,3.9063750000000006,5.15625,0.0825,0.15262499999999998
Cake végétarien aux épices ,5.0,poivre,1.25,0.03625,17.25,4.125,0.49375,0.09375,0.16625,0.00045,0.008
Cannellonidchou Végétariens (11ème rencontre Marmiton),5.0,carotte,25.0,0.00475,19.7,4.725,0.65,0.025,0.1375,0.01275,0.325
Cannellonidchou Végétariens (11ème rencontre Marmiton),5.0,chou blanc,26.666666666666668,0.07200000000000001,40.8,9.733333333333334,1.2346666666666666,0.16,0.368,0.0088,1.12
